bovid	0.48061	-0.085372	-0.42435	0.42791	0.30913	0.79395	0.3387	0.55346	0.56107	0.52179	0.12423	-0.52116	0.9542	0.66018	-0.31966	-0.42579	0.29833	-0.22405	0.49554	-0.11384	-1.0505	-1.0886	-0.098392	0.96388	0.27787	1.3304	-0.26888	0.48803	-0.32925	0.29157	-0.73771	-0.42089	1.2451	0.98004	0.18025	-0.1874	-0.029771	0.014517	-0.47577	0.0044817	0.15334	-0.65484	-0.12823	0.39445	0.97723	0.081035	-0.11209	0.73707	0.31159	-0.26447
mammal	0.98206	-0.29941	-0.57232	0.33373	1.017	0.92792	-0.68627	-1.1859	1.9509	-0.67459	0.65137	0.048149	1.8017	0.99335	0.68687	0.14192	0.52542	0.017853	-1.2253	0.75599	-1.1728	-0.58751	-0.13886	-0.42091	0.63427	0.22203	-0.20675	-0.67514	-0.23448	-0.09205	0.55833	-0.92495	0.4536	-0.31594	-0.084216	0.18612	0.28237	-0.32339	0.2433	-0.023619	-1.3951	-0.85038	0.91183	1.3205	0.55118	0.31762	0.18765	-0.41939	-0.55578	0.024226
musician	-1.3565	0.66141	-0.46193	-0.56495	0.08688	0.79768	-1.4832	0.61977	-0.70475	1.5839	1.086	0.43045	0.40255	0.85173	0.27945	-0.82538	0.69985	0.58247	-0.22825	0.081204	-0.24675	1.3155	-0.13167	0.8259	0.56519	-0.31518	-0.66766	-1.0045	-0.45011	0.32634	1.8767	-1.2875	0.55124	0.11902	0.5913	0.19703	0.39711	-0.045702	0.43166	-0.042202	0.33576	0.85089	-0.66536	-1.0295	0.33217	-0.3151	-0.45464	-1.0107	-0.98699	0.81104
investigator	0.50936	-0.13246	-0.26578	0.37807	0.3119	-0.024136	-0.17305	0.46406	0.89586	-1.0074	-0.12181	0.56156	-0.7551	0.77776	0.55351	-0.98776	0.10029	0.18345	-0.18944	-0.08227	0.088666	0.95989	-0.23279	-0.035556	-0.20509	-1.8103	-0.17623	-0.095363	-1.1161	0.004823	0.50011	-1.1276	-0.4967	-1.4408	0.24854	0.5875	0.18677	-0.36413	1.0112	0.14609	-0.081306	1.0501	0.55747	-0.12542	0.2698	-0.67374	-0.061671	1.1811	0.51419	0.62393
chordate	0.44221	-0.44301	-0.33453	0.31011	0.72651	0.059559	-0.22347	-0.10189	0.60194	0.28613	0.29157	-0.56957	1.0289	0.228	-0.80297	-0.013784	-0.53705	-0.15879	0.22512	0.29425	-0.96525	-0.105	-0.65252	0.28734	0.76082	1.3881	-0.55165	-0.54012	0.17286	0.11811	-0.57959	-0.73713	0.010859	-0.1718	0.20779	-0.039641	0.12552	-0.70352	-0.43618	0.3973	-0.22508	-1.3747	-0.78216	1.1461	0.9137	-0.039613	0.59913	0.27083	0.054635	-0.29529
merchant	0.24924	-0.12961	-0.6344	-0.56172	1.1202	-0.1025	-1.3844	0.17003	-0.17825	-0.65181	0.63368	1.599	0.24727	0.14554	-0.46258	-0.44302	0.11703	0.63232	-0.74838	0.25068	1.5457	0.040005	-0.69787	0.395	-0.51772	-1.0586	-0.18575	-0.75508	0.50549	0.5128	1.309	-0.74543	0.472	0.96671	0.77267	0.13204	-0.91794	-0.13606	0.058109	0.32413	0.47859	-0.15799	1.0549	-0.50546	0.29222	-0.24847	-0.99773	-0.56531	0.3429	-0.25584
contestant	-0.58626	0.23321	0.39724	0.85403	1.3009	0.90977	-0.097971	0.97848	0.27636	0.15962	0.24618	-0.34999	0.27836	0.64649	1.6513	-0.086716	-0.07155	0.015215	-0.41244	-0.1943	-0.132	0.10372	0.70406	1.3433	0.49121	-0.62586	-0.73472	-0.5466	-0.55635	-0.97154	0.33653	0.52927	-0.19242	-0.21828	0.69189	0.075381	0.53142	0.35376	-0.80341	-1.7239	0.13467	0.12671	-0.58914	0.073698	-0.87423	-0.71512	0.49379	-0.33061	0.20625	0.24064
deliveryman	0.24263	-0.91701	-0.4159	-0.25626	0.61437	0.3841	-0.74364	0.76874	0.10783	-0.08742	-0.24389	0.10571	0.39717	1.0981	0.15502	-1.1946	-1.0285	0.87989	0.19504	0.40765	0.88462	-0.34024	-0.28527	1.2254	-0.21414	-0.50358	0.11522	0.040148	0.73565	0.034001	-0.71531	0.28256	0.43478	1.8231	-0.38749	0.43457	-0.48921	0.42052	0.8949	0.81438	0.6366	0.33554	-0.67522	0.72065	0.76887	-0.085895	-1.0009	0.29235	0.81543	-0.076798
ungulate	0.34035	-0.22932	-0.36733	-0.81458	0.95673	0.5837	0.27061	-0.023389	1.4668	-0.32962	0.49772	0.1836	1.451	0.54949	-0.33507	-0.33843	0.66852	-0.60001	-0.58491	-0.020064	-1.4856	-1.4166	-0.54261	0.69078	-0.021651	0.79829	0.21619	-0.65153	0.39328	1.0538	-0.56332	-0.29692	0.88674	0.14765	0.11665	0.76605	-0.23585	-0.5156	-0.365	0.12346	0.29038	-0.32187	0.66199	1.3193	0.7955	0.24362	0.33176	0.14984	0.055734	-0.46937
adult	-0.11941	0.41365	-0.069033	-0.7823	0.7178	1.3926	-0.4255	-0.97037	1.0668	0.29361	0.42356	-0.26536	1.2586	0.5897	0.66358	-0.11947	-0.54563	0.63848	-0.33372	0.16693	-0.24625	0.70568	1.1828	1.5009	-0.23576	-0.65605	-0.2508	-0.62052	0.092142	0.018576	2.6218	0.23755	0.20075	-0.92991	0.14143	0.26081	0.22187	-0.5568	-0.34384	-1.0049	-0.15775	-0.31162	0.18086	0.97092	0.31748	-0.29818	0.24238	-0.78579	-0.48475	0.92212
relative	0.314	1.0514	0.31581	-0.51063	1.3636	-0.010949	0.65656	0.2307	0.074716	0.4101	0.76361	-0.017454	0.35093	-0.35449	-0.090594	0.65237	-0.25585	-0.43883	-0.0044065	-0.55393	-0.51544	0.17856	-0.20247	-0.21609	0.3469	-0.79355	-0.64986	-0.13686	0.79343	1.6226	2.3859	0.29817	0.51794	-0.74555	0.73943	-0.33879	-0.50131	-0.10309	-0.21179	0.029161	-0.42648	0.47203	0.014186	0.59399	-0.47228	-0.75018	0.21583	-0.26637	0.2253	-0.15647
chordate	0.44221	-0.44301	-0.33453	0.31011	0.72651	0.059559	-0.22347	-0.10189	0.60194	0.28613	0.29157	-0.56957	1.0289	0.228	-0.80297	-0.013784	-0.53705	-0.15879	0.22512	0.29425	-0.96525	-0.105	-0.65252	0.28734	0.76082	1.3881	-0.55165	-0.54012	0.17286	0.11811	-0.57959	-0.73713	0.010859	-0.1718	0.20779	-0.039641	0.12552	-0.70352	-0.43618	0.3973	-0.22508	-1.3747	-0.78216	1.1461	0.9137	-0.039613	0.59913	0.27083	0.054635	-0.29529
workman	-0.51748	-0.85291	-0.83613	-0.51203	0.80897	0.097233	0.15634	-0.51659	0.24536	-0.11303	-0.83025	0.71935	-0.17002	-0.11017	1.0273	-0.16637	0.046349	0.10293	-0.092567	-0.11608	0.91581	0.5407	0.10361	-0.18214	-0.50004	-0.1295	0.19095	-0.29743	-0.41426	-0.41655	-0.53324	-1.5966	-0.11117	0.75078	0.16606	-0.094407	0.38338	-0.34478	0.79719	-0.091635	0.26728	0.27972	0.12551	0.7824	-0.18806	-0.12012	0.16277	-0.406	-0.50385	0.52976
vertebrate	1.0188	0.26251	-0.91352	0.49877	1.8039	0.46744	0.17674	-1.346	0.59998	-0.12187	0.94463	0.42305	1.2304	0.90771	0.010691	0.10738	0.62154	0.23851	-1.2218	1.2107	-0.86917	-1.2203	0.47437	-0.51644	0.88229	0.24243	-0.15496	-0.55639	-0.99959	-0.85605	-0.15372	0.15541	0.82278	-1.9069	-0.63091	0.87038	-0.40781	1.2046	-0.10568	0.19398	-0.64795	-0.86067	0.12802	0.88419	0.9467	0.92891	0.71196	0.13672	-0.11712	-0.65121
animal	0.49652	-0.65143	-1.0869	-0.10205	0.81724	0.923	-0.56206	-1.3801	1.8115	0.068438	0.63906	0.24468	1.0308	0.10202	0.48498	-0.08387	0.61688	0.35812	-0.75196	-0.3548	-0.14173	0.042311	0.42242	-0.21013	0.28935	-1.1214	-0.5278	-0.046298	0.064643	-0.43924	2.4004	-0.29715	-0.19765	-0.88725	-0.62955	0.64092	0.14741	-0.0089431	0.39569	0.060899	-0.33917	-0.15897	0.22115	0.83813	1.6032	-0.010252	-0.36843	-0.32005	0.4658	-0.10813
runner	-1.1525	0.90425	0.84571	0.86412	-0.094659	0.44981	-0.72888	0.33313	0.34897	-0.13283	-0.059221	-0.66529	-0.72984	0.44823	0.56728	-0.66899	0.54326	-0.05259	-0.99813	-0.2542	-1.109	-0.40297	0.08087	0.49028	0.95631	-1.6221	0.50535	-0.24209	-0.28483	0.28107	1.3839	0.27743	-0.40477	0.66	-0.048977	-0.24481	-0.022464	1.5206	-1.0052	-0.88629	0.20563	0.53871	-0.30348	-0.34572	-0.060611	-0.47833	0.13104	-0.89003	0.12993	-0.20286
ungulate	0.34035	-0.22932	-0.36733	-0.81458	0.95673	0.5837	0.27061	-0.023389	1.4668	-0.32962	0.49772	0.1836	1.451	0.54949	-0.33507	-0.33843	0.66852	-0.60001	-0.58491	-0.020064	-1.4856	-1.4166	-0.54261	0.69078	-0.021651	0.79829	0.21619	-0.65153	0.39328	1.0538	-0.56332	-0.29692	0.88674	0.14765	0.11665	0.76605	-0.23585	-0.5156	-0.365	0.12346	0.29038	-0.32187	0.66199	1.3193	0.7955	0.24362	0.33176	0.14984	0.055734	-0.46937
athlete	-1.5853	1.3824	-0.30704	0.33044	0.48655	0.45234	-0.069579	0.22905	0.73946	0.36195	1.3053	-0.30742	0.03968	0.37709	1.4039	-0.28165	0.58479	1.5553	-0.92021	-0.42956	-1.1762	0.56278	-0.17886	0.52451	0.60041	-1.7412	-0.11099	-0.64737	-0.5074	0.39002	1.3287	0.34395	-0.31693	-0.59484	0.36634	0.33177	0.49124	1.3427	-0.60569	-0.73597	-0.11792	0.069227	0.35392	0.85239	0.21523	-0.89799	-0.065416	-0.010681	-0.066724	0.1998
reprobate	-0.39959	-0.248	-0.051528	-0.54952	0.38213	0.59218	0.20313	0.026747	-0.80588	0.66675	0.057771	0.23505	0.53096	0.78912	-0.057133	-0.011829	0.041011	0.3268	0.97041	0.33183	-1.246	0.12192	-0.24035	1.1163	0.36496	0.25435	0.35891	-0.27114	-0.17193	0.31669	-0.83738	-0.20834	-0.33187	0.6877	0.28138	0.14773	-0.27743	-0.63965	0.042441	-0.34271	-0.40506	-0.13811	-0.53238	1.0998	0.82661	-0.46235	0.29076	-0.00055194	0.70701	-0.37211
thrush	0.16917	0.0071766	-1.4226	0.20809	0.15639	0.32177	0.33694	0.12995	0.3485	-0.21625	0.50317	1.1238	0.87241	-0.097728	-0.34188	0.84717	0.37219	0.06396	-0.32208	0.32127	-1.3381	0.26937	0.53083	-0.0034628	0.53551	0.64651	0.34381	0.37407	-0.46652	0.025414	-0.036745	-1.7011	1.0723	1.391	0.039363	-0.30261	0.46456	-1.206	-0.12862	0.049376	0.17735	-0.17351	-0.50631	0.65469	1.4152	0.25315	0.058334	-0.84538	-1.5885	-0.067571
communicator	0.7496	0.032994	1.0038	0.34519	0.085829	-0.49422	-0.31283	-1.2003	0.40491	0.83614	0.60993	1.0591	0.35853	0.6589	-0.11199	-0.66417	-0.91217	1.5188	-0.028428	-0.17803	-1.2874	0.67135	-0.76549	-0.62232	1.4142	-0.11272	-0.39266	-0.35695	-0.36265	0.59838	0.29552	0.22599	-0.7029	0.30236	-0.013343	0.41951	-0.38641	0.75557	-0.21278	-1.2289	1.1218	0.3021	-0.38486	0.3153	-0.80775	0.23924	0.68001	0.5109	0.22556	0.4513
ruminant	0.65138	-0.72494	-1.2287	-0.28791	0.18227	1.2251	-0.47235	-0.85776	2.7065	0.89843	1.1508	0.29539	1.3966	0.73549	0.50138	0.71898	0.6672	0.12372	-0.16615	-0.40579	0.18615	-0.079009	0.30616	0.43764	-0.015174	0.67625	-0.20967	0.1807	0.32544	-0.17361	-0.050803	0.3357	0.52734	0.52822	-0.16981	0.79516	0.42172	-0.63119	0.18455	0.67716	0.11064	-0.16355	-0.10277	1.2812	0.97284	-0.0855	-0.030323	-0.10094	-0.3726	-0.59115
maker	-0.053423	-0.70239	0.69972	1.2487	0.17809	0.78359	-0.66572	-0.92407	0.51056	1.0516	1.1788	-0.0049295	-0.74746	-0.00093109	-0.35981	0.40693	-1.6835	0.97003	-0.35731	-1.24	1.2507	0.11762	-1.0746	-0.7096	-0.82697	-1.7312	-1.2218	-0.12672	-0.15274	-0.067094	2.0003	-0.2668	0.17638	1.6269	0.33655	-0.95629	-0.41862	0.86999	0.98767	-0.54744	1.1571	0.24176	0.015047	-0.54065	1.2028	1.0202	-0.33081	0.025015	0.047087	-0.12108
plant	1.3168	0.33647	0.23596	0.94903	-0.3139	0.49869	-0.58349	-0.1452	0.57425	-0.15348	0.72546	-0.61848	0.90902	-1.0721	0.35988	0.77143	0.12515	2.0356	-0.39094	-0.79246	0.29156	-1.5465	-0.35781	-0.44229	-0.11487	-1.1789	0.45206	0.63869	0.81848	-0.13149	2.5388	-1.2112	-0.41811	-0.42627	0.28182	-0.058503	-0.099531	0.84381	1.0907	0.35249	-0.19847	-1.1355	0.26628	-0.55266	1.5585	1.0816	-0.37911	-0.064558	-0.72599	0.1685
tree	0.62231	1.1986	-0.014116	0.20125	0.69419	0.12068	-0.90399	-1.4023	0.43357	-0.48537	-0.4645	0.15756	0.54261	-0.32467	-0.025646	0.45742	0.16561	0.18819	0.062099	-0.86418	-1.0425	-0.81157	0.3126	-0.20279	0.55734	-0.28634	-0.14874	1.0098	0.25041	-0.53195	2.3793	-0.76966	-0.63219	0.3203	0.15072	0.23326	-0.26254	-0.29461	0.7671	-0.11577	-0.68129	-0.65413	-0.58914	0.24684	1.5904	0.33025	0.41513	-1.7468	0.82453	-1.0886
tree	0.62231	1.1986	-0.014116	0.20125	0.69419	0.12068	-0.90399	-1.4023	0.43357	-0.48537	-0.4645	0.15756	0.54261	-0.32467	-0.025646	0.45742	0.16561	0.18819	0.062099	-0.86418	-1.0425	-0.81157	0.3126	-0.20279	0.55734	-0.28634	-0.14874	1.0098	0.25041	-0.53195	2.3793	-0.76966	-0.63219	0.3203	0.15072	0.23326	-0.26254	-0.29461	0.7671	-0.11577	-0.68129	-0.65413	-0.58914	0.24684	1.5904	0.33025	0.41513	-1.7468	0.82453	-1.0886
driver	-0.40904	0.024573	1.2501	0.20486	0.5359	0.6029	-1.2128	0.58529	0.48695	-0.51136	0.97168	-0.26567	-1.6645	0.14853	0.68673	-0.60375	-0.50094	0.60496	-0.27815	-1.6282	-0.53855	0.72757	-1.0502	1.1589	0.79192	-1.6818	0.088348	-0.087112	0.59607	0.40682	1.9141	-0.16015	-0.57913	0.22346	1.5329	0.058707	0.60988	0.18236	0.045903	0.45169	0.1289	0.53618	-0.21911	-0.27558	0.30205	-1.1929	0.18097	-0.34861	1.7032	-0.14054
follower	0.081535	0.33081	0.24887	-0.90533	1.39	-0.058208	0.20298	-0.12798	-0.3469	1.3407	0.44585	-0.10163	-0.30561	0.14516	-0.34362	-0.11538	-0.07168	0.76631	-0.041909	0.65881	-0.65871	0.097929	-0.26258	0.88282	0.27222	-1.3149	0.019202	-0.52679	-0.34104	0.71892	0.26315	-0.68238	-0.22536	-0.24603	-0.35582	-0.4276	0.036093	0.27491	-0.45497	0.24581	0.74247	-0.026987	-1.6044	1.1517	1.1321	-0.795	-0.48741	-1.0385	0.14302	-0.22466
chordate	0.44221	-0.44301	-0.33453	0.31011	0.72651	0.059559	-0.22347	-0.10189	0.60194	0.28613	0.29157	-0.56957	1.0289	0.228	-0.80297	-0.013784	-0.53705	-0.15879	0.22512	0.29425	-0.96525	-0.105	-0.65252	0.28734	0.76082	1.3881	-0.55165	-0.54012	0.17286	0.11811	-0.57959	-0.73713	0.010859	-0.1718	0.20779	-0.039641	0.12552	-0.70352	-0.43618	0.3973	-0.22508	-1.3747	-0.78216	1.1461	0.9137	-0.039613	0.59913	0.27083	0.054635	-0.29529
relative	0.314	1.0514	0.31581	-0.51063	1.3636	-0.010949	0.65656	0.2307	0.074716	0.4101	0.76361	-0.017454	0.35093	-0.35449	-0.090594	0.65237	-0.25585	-0.43883	-0.0044065	-0.55393	-0.51544	0.17856	-0.20247	-0.21609	0.3469	-0.79355	-0.64986	-0.13686	0.79343	1.6226	2.3859	0.29817	0.51794	-0.74555	0.73943	-0.33879	-0.50131	-0.10309	-0.21179	0.029161	-0.42648	0.47203	0.014186	0.59399	-0.47228	-0.75018	0.21583	-0.26637	0.2253	-0.15647
chordate	0.44221	-0.44301	-0.33453	0.31011	0.72651	0.059559	-0.22347	-0.10189	0.60194	0.28613	0.29157	-0.56957	1.0289	0.228	-0.80297	-0.013784	-0.53705	-0.15879	0.22512	0.29425	-0.96525	-0.105	-0.65252	0.28734	0.76082	1.3881	-0.55165	-0.54012	0.17286	0.11811	-0.57959	-0.73713	0.010859	-0.1718	0.20779	-0.039641	0.12552	-0.70352	-0.43618	0.3973	-0.22508	-1.3747	-0.78216	1.1461	0.9137	-0.039613	0.59913	0.27083	0.054635	-0.29529
worker	-0.30696	0.072845	0.19927	-0.56723	0.67596	0.43618	-0.99524	0.54136	0.88209	-0.47933	0.39658	-0.63183	0.44692	0.031063	0.44261	-0.83278	-0.43169	0.84638	0.94748	-0.23098	-0.017498	0.63765	-1.1746	0.19544	0.0253	-1.574	0.28149	-0.34105	0.30773	0.49754	2.3432	-0.30944	-0.27582	0.18877	-0.13417	0.26594	0.17859	-0.18679	1.3678	0.30396	-0.39419	0.095567	0.19372	-0.091851	0.74498	-1.1322	-0.8744	-0.11794	0.5088	0.51875
