state	-0.179129 0.078960 -0.094481 -0.338442 -0.021921 -0.172313 0.079553 0.078403 0.248982 -0.021339 -0.303624 0.374907 0.245494 -0.150379 0.055670 -0.409702 -0.360851 -0.046637 0.039655 0.375363 -0.560368 -0.188542 -0.193244 -0.419241 0.285507 -0.204528 -0.017171 0.309006 -0.202161 -0.350411 -0.681794 0.532322 0.398670 -0.193469 -0.480013 0.216259 0.012276 0.184048 -0.287138 -0.084845 -0.063619 0.093404 -0.442007 0.099616 -0.115311 -0.460851 0.351709 -0.020515 0.004853 -0.292518 
country	0.371425 0.254490 -0.121920 -0.467645 -0.031170 -0.236548 -0.230374 -0.235872 -0.076695 0.111870 -0.103497 0.198952 0.119990 -0.281219 0.288415 -0.307320 -0.069143 -0.017046 0.234859 0.084725 -0.221027 0.000707 -0.332876 -0.364328 0.097404 0.362017 0.085160 0.049786 -0.231363 -0.141264 -0.104160 0.339639 0.163771 -0.063236 -0.442239 0.107128 0.197861 0.508535 0.014045 0.024456 -0.108338 0.344178 -0.180706 0.054484 -0.198806 -0.205700 0.004660 0.165194 0.003369 0.319371 
china	0.094262 0.088045 -0.190254 -0.115941 -0.207860 0.235414 -0.373604 -0.439046 0.405715 0.098066 0.061633 0.263436 0.338891 -0.403995 0.183831 -0.807959 0.046079 -0.590143 0.127174 0.102689 -0.317412 0.012655 -0.112927 -0.407869 0.221837 0.330459 -0.443443 -0.021649 -0.497432 0.335652 -0.202696 0.063269 0.636299 0.434142 0.055407 0.164550 0.025672 0.269838 0.550720 0.342825 0.015959 0.407437 -0.423465 -0.452924 -0.584650 0.268351 -0.335095 -0.178375 -0.155660 0.269652 
city	-0.121287 0.319601 0.090279 -0.434978 0.207710 -0.295351 -0.126917 0.458277 -0.096378 -0.169869 -0.467380 -0.093505 0.337731 -0.475912 -0.117363 -0.771526 -0.077301 -0.168050 -0.001441 0.201490 -0.408480 -0.008784 -0.194597 -0.040572 0.007950 0.076687 -0.346451 0.024859 -0.245378 -0.340834 -0.600925 0.140340 0.439462 -0.442503 -0.205845 0.141019 0.017981 0.212179 -0.358603 -0.041268 0.120794 0.123363 -0.050552 0.124452 0.197282 -0.652510 0.107797 0.305101 0.022038 -0.194045 
company	-0.191489 -0.212460 -0.283783 -0.296132 0.321758 -0.239376 -0.253013 -0.063525 -0.371208 -0.050830 -0.278635 0.117180 -0.391167 -0.898467 -0.420428 -0.569441 -0.124769 0.173147 0.193288 0.222389 -0.265202 -0.300242 0.203490 0.092734 0.418367 -0.174305 -0.146393 -0.141062 -0.092736 0.003347 -0.004272 0.211655 0.419985 -0.328916 -0.334198 0.173008 0.207533 -0.251393 0.008057 -0.053879 -0.040148 0.670417 0.150258 -0.384897 -0.157895 -0.188187 0.175808 0.033307 -0.533364 -0.034282 
team	-0.153559 -0.302235 -0.011242 -0.414766 0.403265 -0.423049 -0.396068 0.228932 -0.403900 0.206241 -0.128777 0.100177 0.249495 -0.435395 0.143432 0.190372 0.054181 -0.153723 0.209834 -0.809689 -0.567794 0.085853 -0.775050 -0.227188 -0.002934 0.162516 -0.392302 -0.163115 -0.094438 -0.434969 -0.609360 0.105918 0.059995 -0.303561 -0.330574 0.145112 -0.098103 -0.215163 -0.407714 0.131074 -0.287218 0.228932 -0.385638 0.069708 -0.282796 -0.211080 -0.104034 -0.187770 -0.592647 0.123846 
home	0.220729 0.056479 -0.293121 -0.243061 0.196733 -0.173164 -0.151684 0.418742 -0.326437 0.069259 -0.146451 -0.111625 0.161505 -0.475780 0.022945 -0.276846 0.064511 -0.411567 -0.284258 0.004143 -0.189921 0.171120 -0.428443 0.030247 0.031327 0.051068 -0.163621 -0.039146 -0.257168 -0.154098 -0.277585 0.278083 0.389737 -0.347376 -0.206147 0.162954 0.029476 0.132815 -0.673134 0.309802 -0.258250 0.363085 0.173259 -0.051816 0.305434 -0.241539 -0.143798 0.116456 0.114150 -0.081922 
school	-0.346757 -0.223603 -0.133386 -0.503637 0.332645 -0.339579 0.036922 0.370742 -0.220196 -0.032137 -1.131517 0.251958 0.878497 -0.465713 0.040385 -0.251885 -0.421151 0.373929 -0.227985 0.461181 -0.352523 0.367004 -0.423996 0.188718 0.221809 0.021014 0.098129 0.167784 -0.018501 -0.298342 -0.446850 0.271990 0.371397 -0.323908 -0.419334 -0.187729 -0.035567 0.315567 -0.668132 0.335238 -0.204919 0.367777 -0.325388 0.148736 0.058573 -0.469524 -0.046106 -0.128776 -0.162029 -0.404921 
family	0.200630 0.279426 -0.426334 -0.058248 0.524296 0.244426 0.007946 -0.279953 -0.298247 0.274865 -0.253052 0.100994 0.186379 -0.272880 -0.367411 -0.074244 -0.052958 0.025518 -0.125772 0.513930 -0.739025 0.054940 -0.095817 -0.125048 -0.086790 -0.123825 -0.101207 -0.106617 0.140517 0.326436 -0.249362 0.812194 0.123087 -0.746415 -0.169949 0.748841 0.055965 0.396706 -0.650037 0.357061 -0.375822 0.186975 -0.062675 -0.156229 0.091423 -0.126221 -0.164019 0.256452 -0.015740 0.118454 
bush	-0.077783 -0.260536 0.061496 -0.170586 -0.190130 -0.230046 0.105583 -0.167937 0.669080 -0.427843 0.509470 0.636951 -0.106321 -0.420774 -0.126256 0.139764 0.057092 -0.320640 -0.062191 0.509470 -0.591229 0.050567 -0.597861 0.036286 0.126962 0.363535 0.048170 0.438823 -0.487519 -0.402690 0.060840 0.521597 0.655035 0.599905 0.126345 0.116379 0.014055 0.313850 -0.585905 -0.014916 0.157199 -0.066116 -0.265361 0.040316 0.001935 0.305844 0.133225 0.607059 0.173289 0.565449 
