waterfowl	0.13214	0.215	3.3543e-08	0.07855	0.6355	0.33844	2.1866e-06	5.6977e-06	0.26864	0.17853	0.24454	0.2229	0.4003	0.2222	0.23967	8.598e-06	0.15418	0.40269	8.983e-07	0.1294	3.1901e-06	2.6576e-05	3.7678e-05	0.28323	0.2558	6.1294e-08	1.0645e-05	8.992e-06	0.081983	0.13699	0.99992	1.931e-09	0.14296	5.3314e-06	0.084942	0.1906	1.5597e-05	0.099238	0.13911	6.5847e-06	1.1789e-05	0.14824	1.3054e-05	0.28856	0.49663	1.3184e-05	2.4369e-05	2.7295e-09	0.11143	0.2571
performer	0.01613	0.83451	3.355e-08	0.21114	0.45844	0.66373	2.1855e-06	5.692e-06	0.01857	0.97502	0.29871	0.15236	0.26524	0.65118	0.82378	8.5947e-06	0.47462	0.83596	8.9801e-07	0.032322	3.1884e-06	2.6518e-05	3.7638e-05	0.34802	0.29144	6.126e-08	1.0635e-05	8.9881e-06	0.012247	0.16568	0.99992	1.9313e-09	0.62997	5.3282e-06	0.49159	0.1578	1.5589e-05	0.20732	0.026469	6.5788e-06	1.1777e-05	0.92228	1.3035e-05	0.010273	0.12559	1.3179e-05	2.4359e-05	2.7304e-09	0.0084756	0.91089
juvenile	0.019479	0.62923	3.3555e-08	0.01968	0.69996	0.90154	2.1835e-06	5.6951e-06	0.034964	0.72159	0.4097	0.10128	0.24609	0.61849	0.70953	8.5836e-06	0.11717	0.63785	8.9792e-07	0.063941	3.1871e-06	2.6672e-05	3.754e-05	0.64975	0.3107	6.121e-08	1.0621e-05	8.9719e-06	0.051408	0.1451	0.99992	1.9321e-09	0.16363	5.325e-06	0.36546	0.15272	1.5584e-05	0.05684	0.038337	6.5748e-06	1.1787e-05	0.62714	1.3031e-05	0.054737	0.15618	1.315e-05	2.4305e-05	2.7309e-09	0.10958	0.65569
mariner	0.08386	0.20117	3.3552e-08	0.041803	0.57612	0.21709	2.1849e-06	5.6958e-06	0.18585	0.095834	0.33766	0.48116	0.13335	0.42546	0.27001	8.591e-06	0.072331	0.55351	8.9795e-07	0.10118	3.1889e-06	2.6605e-05	3.7584e-05	0.20682	0.20927	6.124e-08	1.0636e-05	8.9807e-06	0.086737	0.16876	0.99992	1.9314e-09	0.068404	5.3283e-06	0.1717	0.23889	1.559e-05	0.079671	0.16468	6.5807e-06	1.1789e-05	0.1598	1.3048e-05	0.29837	0.19571	1.3168e-05	2.4345e-05	2.7302e-09	0.10475	0.35115
criminal	0.1343	0.064001	3.3543e-08	0.06012	0.5237	0.53328	2.1868e-06	5.6968e-06	0.19879	0.1061	0.21124	0.12533	0.41705	0.25508	0.091762	8.6012e-06	0.37062	0.38188	8.9843e-07	0.17472	3.19e-06	2.6511e-05	3.7719e-05	0.53387	0.12743	6.131e-08	1.0647e-05	8.9967e-06	0.123	0.40445	0.99991	1.9309e-09	0.08795	5.3331e-06	0.042646	0.080309	1.5592e-05	0.070901	0.058351	6.5859e-06	1.1783e-05	0.052685	1.3061e-05	0.53684	0.48022	1.3192e-05	2.438e-05	2.7296e-09	0.18721	0.22216
dreamer	0.094613	0.17355	3.3547e-08	0.041161	0.66058	0.49113	2.1858e-06	5.697e-06	0.12906	0.26555	0.26568	0.23505	0.29708	0.38575	0.23817	8.5943e-06	0.15621	0.46242	8.9818e-07	0.16843	3.1893e-06	2.6595e-05	3.763e-05	0.34216	0.22316	6.1273e-08	1.0638e-05	8.9864e-06	0.10382	0.23469	0.99992	1.9312e-09	0.10164	5.3301e-06	0.09323	0.22125	1.559e-05	0.05788	0.062111	6.5822e-06	1.1788e-05	0.15994	1.3051e-05	0.34864	0.38332	1.3175e-05	2.4349e-05	2.7298e-09	0.13346	0.20691
holly	0.12045	0.5224	3.3555e-08	0.075552	0.61007	0.28087	2.1831e-06	5.6951e-06	0.090905	0.03882	0.14797	0.43873	0.21761	0.26876	0.16817	8.5857e-06	0.17209	0.25548	8.9776e-07	0.082695	3.1868e-06	2.6598e-05	3.7601e-05	0.34042	0.42439	6.1179e-08	1.0631e-05	8.9747e-06	0.055337	0.2663	0.99991	1.932e-09	0.021106	5.3273e-06	0.30553	0.083282	1.5567e-05	0.22805	0.067658	6.5765e-06	1.1791e-05	0.40831	1.3032e-05	0.10727	0.41578	1.3157e-05	2.4306e-05	2.7307e-09	0.28255	0.46082
stiff	0.039934	0.096949	3.3556e-08	0.081777	0.13017	0.45468	2.1845e-06	5.6958e-06	0.11701	0.1352	0.12283	0.080242	0.10924	0.48045	0.049462	8.5905e-06	0.37918	0.19951	8.9789e-07	0.048773	3.1883e-06	2.6549e-05	3.7621e-05	0.10201	0.10731	6.1226e-08	1.0638e-05	8.9833e-06	0.1025	0.3551	0.99992	1.931e-09	0.055016	5.3293e-06	0.031846	0.12905	1.558e-05	0.11947	0.051365	6.5788e-06	1.1788e-05	0.21526	1.3037e-05	0.12293	0.43563	1.317e-05	2.43e-05	2.7304e-09	0.22254	0.069815
clone	0.82057	0.018404	3.3555e-08	0.16093	0.27415	0.89684	2.1847e-06	5.6916e-06	0.48311	0.2506	0.56103	0.34576	0.28047	0.33898	0.1419	8.5949e-06	0.054951	0.72287	8.9799e-07	0.16234	3.1875e-06	2.6488e-05	3.7739e-05	0.18608	0.29592	6.1229e-08	1.0635e-05	8.9896e-06	0.23212	0.046602	0.99991	1.9314e-09	0.021478	5.3299e-06	0.062345	0.19397	1.5574e-05	0.079688	0.072782	6.5777e-06	1.1785e-05	0.031373	1.3041e-05	0.18783	0.83233	1.3178e-05	2.4397e-05	2.7309e-09	0.061019	0.15636
unfortunate	0.094359	0.41666	3.3553e-08	0.036018	0.73256	0.33004	2.1845e-06	5.6938e-06	0.16267	0.20223	0.56572	0.45431	0.16164	0.5584	0.43752	8.5905e-06	0.039869	0.50152	8.9792e-07	0.068436	3.1879e-06	2.6582e-05	3.7583e-05	0.314	0.3388	6.1225e-08	1.0631e-05	8.9785e-06	0.074924	0.29247	0.99992	1.9317e-09	0.097356	5.3265e-06	0.24298	0.13118	1.5588e-05	0.075511	0.13324	6.5788e-06	1.1783e-05	0.31019	1.3045e-05	0.22876	0.10435	1.3165e-05	2.435e-05	2.7306e-09	0.086981	0.54714
