rider	0.16995	0.030418	0.22771	5.5981e-07	2.5854e-05	0.12305	0.06493	8.1929e-09	1.6866e-05	1.9508e-05	3.3268e-12	6.125e-05	0.64338	1.2937e-05	0.017707	0.015241	0.4351	5.2596e-05	0.010037	0.10682	1.4302e-05	0.083286	0.055847	6.1024e-06	0.051091	0.020372	4.8934e-05	7.9137e-08	1.1018e-05	0.29093	1.8256e-06	0.49767	0.039507	0.051155	0.032169	0.10711	3.1886e-06	0.0011511	0.13321	1.2156e-05	1.0145e-05	0.091476	0.51684	2.2236e-05	0.46591	0.035418	3.0479e-06	2.4523e-05	3.0978e-07	2.4866e-06	1.061e-05	2.1082e-07	0.16698	0.53239	0.0901	1.4857e-10	8.2752e-09	9.0343e-06	0.85953	0.54578	0.10753	0.029044	0.029402	0.073282	0.53843	8.062e-06	0.31704	0.78677	0.55595	5.8005e-05	5.0985e-06	8.6629e-06	1.4152e-05	0.024254	3.7718e-05	9.8585e-06	6.9263e-05	4.159e-09	8.2403e-06	0.0064632	4.4856e-05	0.065368	1.0177e-05	0.049788	7.7466e-07	7.0337e-06	0.05346	3.2289e-05	0.6524	9.38e-08	0.20901	4.9689e-06	0.16433	0.31513	4.6617e-05	0.22452	1.9831e-08	1.4929e-06	0.22689	2.926e-08
broadcaster	0.076067	0.3868	0.30125	5.5985e-07	2.5826e-05	0.59807	0.077144	8.1929e-09	1.6882e-05	1.9481e-05	3.3268e-12	6.159e-05	0.15881	1.2944e-05	0.098752	0.10724	0.45611	5.2827e-05	0.13508	0.19448	1.432e-05	0.054713	0.03527	6.1078e-06	0.68749	0.43545	4.8953e-05	7.9138e-08	1.1015e-05	0.12424	1.8262e-06	0.073493	0.11976	0.095818	0.1831	0.19172	3.1913e-06	0.0010866	0.15798	1.2167e-05	1.0162e-05	0.19497	0.3685	2.2258e-05	0.29303	0.086554	3.0492e-06	2.4606e-05	3.098e-07	2.4874e-06	1.0613e-05	2.1083e-07	0.32634	0.44751	0.036647	1.4857e-10	8.2752e-09	9.0412e-06	0.19472	0.21781	0.2215	0.096117	0.039476	0.15929	0.2272	8.0718e-06	0.095674	0.036232	0.38734	5.7569e-05	5.0998e-06	8.6684e-06	1.4167e-05	0.037921	3.7689e-05	9.863e-06	6.9218e-05	4.159e-09	8.249e-06	0.067556	4.4746e-05	0.092192	1.0181e-05	0.27131	7.7493e-07	7.0376e-06	0.081808	3.2267e-05	0.11934	9.3803e-08	0.11316	4.9715e-06	0.32085	0.083519	4.6582e-05	0.045709	1.9831e-08	1.4936e-06	0.042141	2.9261e-08
contestant	0.19355	0.25448	0.27855	5.5985e-07	2.5838e-05	0.2832	0.15147	8.1929e-09	1.6883e-05	1.948e-05	3.3268e-12	6.1444e-05	0.30364	1.2937e-05	0.081383	0.10851	0.26032	5.2873e-05	0.058334	0.44167	1.4313e-05	0.058056	0.053713	6.1061e-06	0.42454	0.12571	4.9027e-05	7.9138e-08	1.1015e-05	0.17083	1.826e-06	0.4744	0.15038	0.072287	0.26915	0.074983	3.191e-06	0.0010964	0.16037	1.2168e-05	1.016e-05	0.21377	0.13979	2.2265e-05	0.16224	0.075601	3.0489e-06	2.4583e-05	3.0979e-07	2.4871e-06	1.0613e-05	2.1083e-07	0.27951	0.40462	0.083215	1.4857e-10	8.2752e-09	9.0392e-06	0.6547	0.25103	0.25214	0.33355	0.061477	0.090676	0.65607	8.0713e-06	0.32802	0.073144	0.30499	5.7597e-05	5.0992e-06	8.6695e-06	1.4161e-05	0.14199	3.7737e-05	9.8627e-06	6.9254e-05	4.159e-09	8.2479e-06	0.033466	4.4725e-05	0.14469	1.0178e-05	0.12521	7.7485e-07	7.0381e-06	0.09434	3.2258e-05	0.071148	9.3802e-08	0.1776	4.9709e-06	0.4129	0.069608	4.6576e-05	0.16684	1.9831e-08	1.4934e-06	0.26211	2.9261e-08
actor	0.21307	0.11469	0.25193	5.5984e-07	2.5822e-05	0.40912	0.13517	8.1929e-09	1.6885e-05	1.9482e-05	3.3268e-12	6.1539e-05	0.20746	1.2936e-05	0.081324	0.15828	0.15178	5.28e-05	0.037081	0.40151	1.4314e-05	0.039079	0.024292	6.105e-06	0.30425	0.22652	4.896e-05	7.9138e-08	1.1012e-05	0.072669	1.8259e-06	0.24977	0.14656	0.06022	0.12425	0.090504	3.1902e-06	0.0011026	0.43155	1.2164e-05	1.0157e-05	0.35595	0.31946	2.2255e-05	0.10535	0.056394	3.0489e-06	2.4584e-05	3.0979e-07	2.487e-06	1.0611e-05	2.1083e-07	0.20373	0.33975	0.046833	1.4857e-10	8.2752e-09	9.039e-06	0.49437	0.15698	0.17779	0.18116	0.044021	0.074869	0.43191	8.0684e-06	0.24311	0.050828	0.21797	5.7585e-05	5.0984e-06	8.6658e-06	1.416e-05	0.077644	3.7706e-05	9.8608e-06	6.9302e-05	4.159e-09	8.2469e-06	0.03089	4.475e-05	0.23121	1.0178e-05	0.14437	7.7481e-07	7.0363e-06	0.048704	3.226e-05	0.045837	9.3802e-08	0.068769	4.9704e-06	0.38914	0.066805	4.661e-05	0.070288	1.9831e-08	1.4933e-06	0.095348	2.926e-08
entertainer	0.086775	0.44281	0.27429	5.5989e-07	2.5834e-05	0.13605	0.10427	8.1929e-09	1.6891e-05	1.9459e-05	3.3268e-12	6.1594e-05	0.33987	1.2946e-05	0.3098	0.4396	0.26991	5.3036e-05	0.19471	0.37665	1.4323e-05	0.064041	0.064823	6.11e-06	0.60582	0.43389	4.9076e-05	7.9139e-08	1.1015e-05	0.34085	1.8264e-06	0.06913	0.14547	0.23092	0.38466	0.088321	3.1929e-06	0.0010547	0.11108	1.2178e-05	1.017e-05	0.079971	0.050921	2.2286e-05	0.29515	0.16566	3.0497e-06	2.4647e-05	3.098e-07	2.4876e-06	1.062e-05	2.1084e-07	0.2899	0.10502	0.091385	1.4857e-10	8.2752e-09	9.0411e-06	0.39412	0.44415	0.19766	0.26667	0.37246	0.14062	0.62957	8.0794e-06	0.068026	0.023575	0.55848	5.7435e-05	5.1008e-06	8.6737e-06	1.4174e-05	0.074666	3.774e-05	9.8652e-06	6.9059e-05	4.159e-09	8.252e-06	0.15625	4.465e-05	0.11425	1.0182e-05	0.55992	7.7503e-07	7.0421e-06	0.38155	3.2238e-05	0.038719	9.3804e-08	0.2191	4.9728e-06	0.3541	0.045255	4.6539e-05	0.054254	1.9831e-08	1.494e-06	0.29554	2.9261e-08
placental	0.15197	0.486	0.27119	5.5989e-07	2.5859e-05	0.040759	0.074992	8.1929e-09	1.6889e-05	1.9473e-05	3.3268e-12	6.1485e-05	0.23482	1.2944e-05	0.083898	0.1178	0.53955	5.2964e-05	0.33031	0.74609	1.4321e-05	0.037519	0.088291	6.1099e-06	0.71833	0.16209	4.9143e-05	7.9139e-08	1.1021e-05	0.27842	1.8262e-06	0.47159	0.46108	0.099184	0.12034	0.10549	3.1933e-06	0.0010418	0.06849	1.2177e-05	1.0173e-05	0.095751	0.064027	2.2288e-05	0.43589	0.11072	3.0493e-06	2.4611e-05	3.098e-07	2.4872e-06	1.0615e-05	2.1083e-07	0.34272	0.57711	0.09001	1.4857e-10	8.2752e-09	9.0431e-06	0.64955	0.20846	0.45201	0.77636	0.061436	0.17964	0.73965	8.0759e-06	0.64844	0.023218	0.16966	5.7495e-05	5.1003e-06	8.6747e-06	1.4161e-05	0.15092	3.7778e-05	9.8654e-06	6.9303e-05	4.159e-09	8.2533e-06	0.10846	4.4689e-05	0.041785	1.018e-05	0.12688	7.7499e-07	7.0422e-06	0.29751	3.2237e-05	0.033649	9.3804e-08	0.26057	4.9721e-06	0.20881	0.1913	4.6524e-05	0.50084	1.9831e-08	1.494e-06	0.68954	2.9261e-08
fungus	0.0093884	0.96953	0.1028	5.5984e-07	2.5842e-05	0.034846	0.43404	8.1929e-09	1.6868e-05	1.9413e-05	3.3268e-12	6.1537e-05	0.30307	1.2942e-05	0.052776	0.7111	0.66176	5.2958e-05	0.33007	0.12024	1.4306e-05	0.63813	0.065351	6.1085e-06	0.55785	0.94746	4.9331e-05	7.9139e-08	1.1004e-05	0.88094	1.8254e-06	0.15423	0.52232	0.17433	0.044286	0.33972	3.1917e-06	0.0010321	0.025392	1.2178e-05	1.0176e-05	0.0010642	0.077508	2.2261e-05	0.71385	0.74115	3.0491e-06	2.4643e-05	3.0978e-07	2.4871e-06	1.0617e-05	2.1083e-07	0.21984	0.18532	0.024458	1.4857e-10	8.2752e-09	9.0354e-06	0.48366	0.40693	0.69676	0.92606	0.5503	0.49543	0.96478	8.075e-06	0.43656	0.0077645	0.84101	5.6995e-05	5.0982e-06	8.6702e-06	1.4144e-05	0.033017	3.7692e-05	9.8616e-06	6.8999e-05	4.159e-09	8.2495e-06	0.99122	4.4584e-05	0.077666	1.016e-05	0.053273	7.7496e-07	7.0416e-06	0.86727	3.2261e-05	0.044326	9.3805e-08	0.84243	4.9673e-06	0.26103	0.29612	4.6362e-05	0.042405	1.9831e-08	1.4933e-06	0.96373	2.9261e-08
mandarin	0.34589	0.43039	0.24145	5.5985e-07	2.5818e-05	0.36011	0.093854	8.1929e-09	1.6889e-05	1.948e-05	3.3268e-12	6.1585e-05	0.11267	1.2941e-05	0.0749	0.08425	0.47134	5.2844e-05	0.065226	0.58087	1.4313e-05	0.058909	0.017448	6.107e-06	0.50371	0.62461	4.8919e-05	7.9138e-08	1.1015e-05	0.050801	1.8261e-06	0.11617	0.17757	0.063332	0.097039	0.19076	3.1911e-06	0.0010962	0.18729	1.2163e-05	1.0162e-05	0.45078	0.22346	2.2257e-05	0.12557	0.044998	3.0492e-06	2.4607e-05	3.098e-07	2.4872e-06	1.0609e-05	2.1083e-07	0.38084	0.14958	0.02854	1.4857e-10	8.2752e-09	9.042e-06	0.16475	0.13301	0.35765	0.16987	0.025189	0.1025	0.21378	8.0689e-06	0.21076	0.03164	0.10456	5.7446e-05	5.0992e-06	8.6685e-06	1.4163e-05	0.062859	3.7671e-05	9.8631e-06	6.934e-05	4.159e-09	8.2504e-06	0.031979	4.4737e-05	0.16328	1.0181e-05	0.29767	7.7489e-07	7.0381e-06	0.042748	3.2231e-05	0.067926	9.3802e-08	0.052213	4.9715e-06	0.26517	0.11679	4.6568e-05	0.026636	1.9831e-08	1.4935e-06	0.044656	2.9261e-08
tree	0.12132	0.33278	0.18445	5.5988e-07	2.583e-05	0.12885	0.11239	8.1929e-09	1.689e-05	1.9456e-05	3.3268e-12	6.1653e-05	0.34092	1.2944e-05	0.16113	0.34834	0.095883	5.3026e-05	0.26972	0.26149	1.4326e-05	0.065841	0.029083	6.109e-06	0.12808	0.19194	4.9085e-05	7.9139e-08	1.1013e-05	0.32283	1.8263e-06	0.058104	0.090295	0.14073	0.2613	0.055475	3.1924e-06	0.0010555	0.14298	1.2177e-05	1.0169e-05	0.12233	0.058456	2.2286e-05	0.21647	0.13205	3.0496e-06	2.4655e-05	3.098e-07	2.4876e-06	1.0619e-05	2.1083e-07	0.17801	0.06648	0.14837	1.4857e-10	8.2752e-09	9.0394e-06	0.35909	0.15759	0.11593	0.17601	0.18554	0.11475	0.41293	8.0797e-06	0.042236	0.019497	0.21863	5.7421e-05	5.1004e-06	8.6726e-06	1.4175e-05	0.18545	3.771e-05	9.8643e-06	6.8985e-05	4.159e-09	8.2513e-06	0.085124	4.4619e-05	0.089799	1.0182e-05	0.37063	7.7502e-07	7.0415e-06	0.15077	3.2242e-05	0.028068	9.3804e-08	0.1448	4.9723e-06	0.24591	0.050784	4.6543e-05	0.033134	1.9831e-08	1.4939e-06	0.21474	2.9261e-08
clergyman	0.1397	0.57289	0.38124	5.5987e-07	2.5823e-05	0.22435	0.094617	8.1929e-09	1.6887e-05	1.9462e-05	3.3268e-12	6.16e-05	0.42578	1.2944e-05	0.41946	0.48327	0.15772	5.2995e-05	0.2647	0.31466	1.4321e-05	0.039324	0.036432	6.109e-06	0.54952	0.27788	4.9067e-05	7.9139e-08	1.1014e-05	0.41456	1.8262e-06	0.083756	0.10881	0.20353	0.43405	0.077372	3.1921e-06	0.0010746	0.10179	1.2174e-05	1.0168e-05	0.11202	0.046109	2.2279e-05	0.21692	0.3054	3.0495e-06	2.4634e-05	3.098e-07	2.4875e-06	1.0617e-05	2.1083e-07	0.2944	0.10066	0.076718	1.4857e-10	8.2752e-09	9.0391e-06	0.31841	0.38298	0.25182	0.33658	0.48388	0.18207	0.76084	8.0779e-06	0.044173	0.025131	0.54999	5.7491e-05	5.1003e-06	8.6705e-06	1.4172e-05	0.053339	3.7725e-05	9.8636e-06	6.9031e-05	4.159e-09	8.2497e-06	0.1171	4.4645e-05	0.22651	1.0182e-05	0.63246	7.7498e-07	7.0404e-06	0.32832	3.2241e-05	0.040811	9.3803e-08	0.24383	4.9719e-06	0.40784	0.04864	4.6556e-05	0.041786	1.9831e-08	1.4938e-06	0.32893	2.9261e-08
