waterfowl	0.11685	0.20522	8.3975e-09	0.071129	0.61834	0.31785	1.219e-08	4.754e-06	0.23857	0.19211	0.22958	0.22528	0.36208	0.24226	0.2278	5.2623e-06	0.1459	0.40639	1.1747e-06	0.13277	1.1155e-09	7.811e-06	6.8858e-06	0.29627	0.24767	1.3418e-07	7.4331e-07	4.3119e-06	3.2669e-05	0.15201	0.99995	1.3253e-06	0.12549	3.4662e-07	0.0935	0.1765	1.0831e-05	0.10699	0.13026	1.3616e-07	1.8615e-05	0.15559	2.9055e-06	0.30639	0.41682	8.6378e-06	1.709e-05	2.8146e-07	0.11003	0.29156
performer	0.015124	0.83648	8.3977e-09	0.21689	0.39642	0.65491	1.2191e-08	4.7522e-06	0.018856	0.97185	0.29467	0.13662	0.22746	0.63733	0.84095	5.2629e-06	0.49486	0.89968	1.1745e-06	0.027866	1.1155e-09	7.8068e-06	6.8864e-06	0.31712	0.29876	1.3421e-07	7.433e-07	4.3128e-06	3.2654e-05	0.16053	0.99995	1.3253e-06	0.58525	3.4662e-07	0.53886	0.16879	1.0833e-05	0.21045	0.025293	1.3616e-07	1.8588e-05	0.91769	2.9051e-06	0.0094067	0.12352	8.6398e-06	1.7098e-05	2.8145e-07	0.008696	0.91311
juvenile	0.02868	0.63285	8.4003e-09	0.023685	0.73949	0.93629	1.2195e-08	4.753e-06	0.049061	0.57008	0.46075	0.12957	0.31943	0.55166	0.78307	5.2593e-06	0.076163	0.51954	1.1748e-06	0.057065	1.1159e-09	7.8213e-06	6.8842e-06	0.75253	0.33476	1.3421e-07	7.4345e-07	4.3097e-06	3.2642e-05	0.12447	0.99995	1.3254e-06	0.1246	3.4675e-07	0.26233	0.1402	1.0827e-05	0.054867	0.038428	1.362e-07	1.862e-05	0.5065	2.9054e-06	0.10432	0.15288	8.6241e-06	1.706e-05	2.8151e-07	0.10635	0.63224
mariner	0.076203	0.19205	8.3996e-09	0.03805	0.55575	0.18934	1.2194e-08	4.7525e-06	0.1872	0.091588	0.3345	0.51196	0.1212	0.41751	0.23945	5.2605e-06	0.066396	0.54904	1.1747e-06	0.10378	1.1158e-09	7.8147e-06	6.8842e-06	0.19626	0.18353	1.342e-07	7.4344e-07	4.3105e-06	3.2666e-05	0.17445	0.99995	1.3254e-06	0.058655	3.4672e-07	0.16943	0.21639	1.0827e-05	0.079587	0.18901	1.3619e-07	1.8621e-05	0.14241	2.9057e-06	0.30159	0.18881	8.6299e-06	1.7076e-05	2.815e-07	0.10392	0.38021
criminal	0.13982	0.064465	8.3968e-09	0.052317	0.48194	0.46347	1.2189e-08	4.7527e-06	0.20891	0.19976	0.17285	0.18369	0.42463	0.27321	0.13181	5.2637e-06	0.31764	0.42601	1.1745e-06	0.15901	1.1154e-09	7.8036e-06	6.8879e-06	0.45754	0.24665	1.342e-07	7.4327e-07	4.3131e-06	3.2724e-05	0.34712	0.99995	1.3253e-06	0.1003	3.4659e-07	0.032466	0.09439	1.083e-05	0.1011	0.046449	1.3615e-07	1.8597e-05	0.04521	2.9057e-06	0.64921	0.52275	8.6437e-06	1.7106e-05	2.8144e-07	0.22316	0.25117
dreamer	0.082457	0.16072	8.3986e-09	0.03686	0.61087	0.41012	1.2192e-08	4.7533e-06	0.085103	0.28033	0.20457	0.34323	0.2162	0.38686	0.27746	5.2612e-06	0.16044	0.53002	1.1747e-06	0.12997	1.1156e-09	7.8132e-06	6.885e-06	0.39531	0.18749	1.3419e-07	7.4336e-07	4.3112e-06	3.2684e-05	0.1973	0.99995	1.3254e-06	0.073303	3.4667e-07	0.083738	0.25543	1.0828e-05	0.045724	0.053733	1.3617e-07	1.8616e-05	0.15638	2.9055e-06	0.31178	0.35623	8.6327e-06	1.7081e-05	2.8148e-07	0.13543	0.28737
holly	0.19668	0.53557	8.4007e-09	0.083656	0.71879	0.39789	1.2196e-08	4.7544e-06	0.05904	0.03718	0.20877	0.32743	0.17706	0.27509	0.1809	5.26e-06	0.13726	0.19798	1.1749e-06	0.063588	1.1159e-09	7.8162e-06	6.8858e-06	0.41546	0.40928	1.3421e-07	7.4352e-07	4.3111e-06	3.2667e-05	0.48697	0.99995	1.3255e-06	0.022538	3.4678e-07	0.38434	0.054322	1.0819e-05	0.3305	0.041736	1.3621e-07	1.8642e-05	0.58867	2.9054e-06	0.034577	0.42	8.626e-06	1.7059e-05	2.8152e-07	0.42453	0.45444
stiff	0.060046	0.080482	8.3983e-09	0.17186	0.13271	0.50051	1.2192e-08	4.7553e-06	0.13415	0.14518	0.13782	0.050077	0.1437	0.49517	0.042081	5.2614e-06	0.18911	0.18677	1.1747e-06	0.037011	1.1156e-09	7.8102e-06	6.8864e-06	0.096367	0.11074	1.3418e-07	7.4337e-07	4.3121e-06	3.2669e-05	0.29283	0.99995	1.3254e-06	0.043628	3.4666e-07	0.03806	0.11617	1.0828e-05	0.09631	0.048521	1.3617e-07	1.8623e-05	0.097527	2.9053e-06	0.20026	0.41201	8.635e-06	1.7075e-05	2.8147e-07	0.1173	0.1055
clone	0.79266	0.019391	8.3987e-09	0.18073	0.19576	0.82114	1.2192e-08	4.7514e-06	0.50818	0.15676	0.37995	0.33392	0.27003	0.23196	0.14481	5.263e-06	0.058098	0.7614	1.1746e-06	0.13115	1.1156e-09	7.8036e-06	6.8893e-06	0.22924	0.17283	1.3421e-07	7.4338e-07	4.3133e-06	3.2752e-05	0.070317	0.99995	1.3254e-06	0.031175	3.4668e-07	0.047924	0.21162	1.0824e-05	0.054593	0.046278	1.3617e-07	1.8612e-05	0.036499	2.9054e-06	0.22379	0.84793	8.6387e-06	1.711e-05	2.8148e-07	0.1038	0.11919
unfortunate	0.10263	0.25613	8.3997e-09	0.016269	0.86334	0.16085	1.2194e-08	4.7517e-06	0.16585	0.036508	0.54983	0.48304	0.20605	0.45061	0.073058	5.261e-06	0.037976	0.23301	1.1747e-06	0.18565	1.1158e-09	7.8116e-06	6.8841e-06	0.28904	0.3391	1.3421e-07	7.4343e-07	4.3102e-06	3.2677e-05	0.80802	0.99995	1.3254e-06	0.069292	3.4672e-07	0.10325	0.15402	1.0825e-05	0.076021	0.080837	1.3619e-07	1.8609e-05	0.086538	2.9059e-06	0.64117	0.074727	8.6301e-06	1.7081e-05	2.8151e-07	0.24809	0.13065
